| #                              | KPI                                                           | Why it matters (strategic lens)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | How to calculate it (analytic lens)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| ------------------------------ | ------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Marketplace Growth & Liquidity |                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 1                              | Gross Booking Value (GBV)                                     | GBV is the primary indicator of how much rental revenue flows through HousingAnywhere. More bookings = higher GBV = stronger platform growth. It reflects tenant demand and platform revenue.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Sum of first-month rent paid through the platform for every confirmed booking in the period.<br>Example: If 200 tenants each book a room for €900, your GBV = €180,000.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 2                              | Take Rate                                                     | Take Rate shows what percentage of GBV HousingAnywhere retains as revenue — including service fees, subscription charges, etc. It reflects the efficiency of the platform’s revenue model.<br>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Platform revenue ÷ GBV.<br>Revenue includes service fees from tenants and landlords, featured listings, and processing fees.<br>Example: If GBV = €180,000 and HousingAnywhere earns €27,000, then Take Rate = 15%.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 3                              | Active Listings                                               | Indicates platform supply — the number of properties listed with at least one future availability date. More listings mean greater choice for tenants and better chances of meeting demand. Too few listings may lead to missed bookings and unsatisfied users.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Count of listings with status = active and at least one future availability date.<br>Example: If you have 1,000 listings live on the platform but only 750 have future availability, Active Listings = 750.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 4                              | Listing Fill Rate                                             | This KPI shows the how much of the available time (days or months) is actually booked.<br>Indicates how much of that supply turns into bookings (liquidity).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Booked nights ÷ Total nights available on active listings in the period.<br>Example: A landlord has a room available for 30 days but it’s only booked for 15 → Fill Rate = 50%.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 5                              | Tenant Booking Conversion                                     | This KPI shows the out of all the tenants who visit the site, how many actually complete a booking.<br>A low rate means people are interested but not completing the process (maybe UX or trust issues).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Confirmed bookings ÷ Unique tenant sessions (or search results views). <br>Example: If 2,000 unique visitors viewed listings and 100 confirmed bookings were made, then Conversion Rate = 5%.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| User Engagement & Retention    |                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 6                              | Monthly Active Tenants (MAT) / Monthly Active Landlords (MAL) | The number of users who actively used the platform this month.<br>Shows whether people are using the HousingAnywhere platform regularly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Count of distinct tenant (or landlord) IDs who logs in (with ≥1 session), message, or booking action in the month.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 7                              | Tenant Churn Rate / Drop-Off Rate                             | Tenant churn typically refers to tenants who:<br>- Previously made a booking, but<br>- Have not returned to book again, send messages, or engage after a certain time (e.g., 3, 6, or 12 months).<br>In other words, churn happens after a user has engaged or booked.<br><br>Some tenants only need to rent once per year (e.g., students, expats).<br>If they booked successfully and didn’t return, they’re not “churned” it's just the nature of your business.<br><br>Tenant Drop-Off typically refers to tenants who visit but leave without booking.<br>If high: this is a serious issue. We’re losing potential revenue before conversion. We should investigate supply gaps, listing quality, pricing, or friction in the booking flow. | Example:<br> ◾Site visits: 100,000 <br> ◾Viewed listings: 80,000 (80%) <br> ◾Sent message to landlord: 30,000 (30%)<br> ◾Booking request sent: 10,000 (10%)<br> ◾Booking completed (paid): 6,000 (6%)<br> ◾Returned to book again later: 600 (0.6%)<br> ✅ **Drop-off**: From 100k visits ➡️ 6k bookings = 94% left without booking<br> ✅ **Churn**: Only 600 returned = 90% churn after booking ➡️ might be OK depending on your market|
| 8                              | Customer Acquisition Cost (CAC)                               | The average cost to get a new user (tenant or landlord).<br>HousingAnywhere wants this to be as low as possible. High CAC = it's spending too much to grow.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Paid marketing & sales spend in period ÷ New paying users acquired in period (split by tenants and landlords).<br>Example: If HousingAnywhere spends €10,000 on marketing and get 100 new users, CAC = €100/user.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| Booking & Payment Experience   |                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 10                             | Time-to-Book (Search-to-Payment Lag)                          | How long it takes from the first visit to completing a booking.<br>A shorter time = better user experience and faster decisions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | Median hours between tenant’s first property view and successful payment.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
